Scan started at 15:00:19 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.374406	-367.924	556.958	-23.4183	7.53146	1.22262	1.89071	0.0501389	
0.379398	-367.983	557.119	-23.1079	7.62927	0.769218	1.18565	0.0457397	
0.38439	-367.865	557.015	-23.2425	7.72708	1.21534	1.87719	0.0491441	
0.389382	-367.803	556.86	-23.5577	7.82489	0.740202	1.13598	0.044477	
0.394374	-367.931	556.978	-23.4293	7.92271	1.19294	1.85103	0.0473458	
0.399366	-367.999	557.129	-23.1157	8.02052	0.698053	1.07032	0.0444309	
0.404358	-367.867	557.012	-23.2452	8.11833	1.17066	1.8086	0.045991	
0.409351	-367.801	556.856	-23.553	8.21614	0.681499	1.04637	0.0426541	
0.414343	-367.923	556.967	-23.4173	8.31395	1.14713	1.77612	0.0451485	
0.419335	-367.985	557.129	-23.11	8.41176	0.660338	1.0191	0.0423996	
0.424327	-367.863	557.024	-23.2502	8.50957	1.1172	1.72612	0.0441934	
0.429319	-367.803	556.869	-23.5574	8.60738	0.653756	1.00376	0.0405778	
0.434311	-367.928	556.976	-23.4132	8.7052	1.09069	1.68631	0.0432869	
0.439303	-367.988	557.13	-23.1062	8.80301	0.647393	0.994047	0.0399535	
0.444295	-367.871	557.018	-23.2502	8.90082	1.05689	1.63813	0.0419806	
0.449287	-367.805	556.855	-23.5598	8.99863	0.651073	0.997262	0.038852	
0.454279	-367.923	556.954	-23.4211	9.09644	1.02439	1.58147	0.0410949	
0.459271	-367.983	557.118	-23.1138	9.19425	0.658859	1.01703	0.0392875	
0.464263	-367.86	557.022	-23.2462	9.29206	0.983694	1.52025	0.0401929	
0.469256	-367.801	556.869	-23.5474	9.38987	0.673771	1.03807	0.0381932	
0.474248	-367.921	556.975	-23.4131	9.48768	0.948351	1.46334	0.0397804	
0.47924	-367.984	557.128	-23.1131	9.5855	0.682241	1.05146	0.0368203	
0.484232	-367.866	557.021	-23.2494	9.68331	0.9076	1.4016	0.03806	
0.489224	-367.8	556.847	-23.549	9.78112	0.701065	1.08011	0.0369442	
0.494216	-367.918	556.947	-23.4149	9.87893	0.868081	1.34049	0.0375391	
0.499208	-367.98	557.116	-23.1068	9.97674	0.713589	1.10273	0.036427	
0.5042	-367.863	557.02	-23.2472	10.0746	0.826162	1.27383	0.0362953	
0.509192	-367.809	556.872	-23.5557	10.1724	0.730165	1.12702	0.0357985	
0.514184	-367.928	556.971	-23.4178	10.2702	0.784989	1.21026	0.0356661	
0.519176	-367.981	557.128	-23.1181	10.368	0.74411	1.15015	0.0349156	
