Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.374406	-367.6	556.997	-23.5633	7.53146	1.31291	1.91962	0.0794287	
0.379398	-367.514	556.866	-23.7416	7.62927	0.900601	1.22881	0.0769746	
0.38439	-367.791	557.045	-23.3641	7.72708	1.29324	1.88957	0.0796129	
0.389382	-367.874	557.169	-23.1874	7.82489	0.864283	1.17219	0.0758863	
0.394374	-367.61	556.989	-23.5641	7.92271	1.26736	1.85929	0.0788697	
0.399366	-367.532	556.865	-23.7548	8.02052	0.829289	1.12841	0.0714962	
0.404358	-367.793	557.038	-23.3898	8.11833	1.23795	1.82514	0.072867	
0.409351	-367.874	557.164	-23.194	8.21614	0.79241	1.07925	0.0690432	
0.414343	-367.613	556.981	-23.5579	8.31395	1.22084	1.79634	0.0698944	
0.419335	-367.526	556.851	-23.7485	8.41176	0.768958	1.0406	0.0686689	
0.424327	-367.783	557.039	-23.3715	8.50957	1.19187	1.75341	0.0670708	
0.429319	-367.866	557.173	-23.1777	8.60738	0.764254	1.03346	0.0672371	
0.434311	-367.6	557.001	-23.5523	8.7052	1.157	1.7015	0.0677139	
0.439303	-367.514	556.864	-23.7465	8.80301	0.762132	1.03413	0.0668704	
0.444295	-367.783	557.036	-23.3832	8.90082	1.12664	1.65263	0.066669	
0.449287	-367.871	557.171	-23.1916	8.99863	0.751565	1.02596	0.0647831	
0.454279	-367.603	556.991	-23.5576	9.09644	1.09195	1.60196	0.0663347	
0.459271	-367.518	556.855	-23.7472	9.19425	0.758927	1.04496	0.0636945	
0.464263	-367.787	557.035	-23.3696	9.29206	1.05444	1.543	0.0642258	
0.469256	-367.876	557.167	-23.1778	9.38987	0.766476	1.0615	0.0616099	
0.474248	-367.608	556.988	-23.5461	9.48768	1.01118	1.47603	0.0619897	
0.47924	-367.521	556.861	-23.7402	9.5855	0.776645	1.08145	0.0612152	
0.484232	-367.789	557.037	-23.3823	9.68331	0.974261	1.41994	0.0606874	
0.489224	-367.876	557.166	-23.1902	9.78112	0.781765	1.10221	0.0597288	
0.494216	-367.609	556.986	-23.5505	9.87893	0.934691	1.35879	0.0587104	
0.499208	-367.516	556.863	-23.7407	9.97674	0.791349	1.12216	0.0575738	
0.5042	-367.781	557.052	-23.3831	10.0746	0.893156	1.29434	0.0582283	
0.509192	-367.873	557.175	-23.1806	10.1724	0.806036	1.14887	0.0565729	
0.514184	-367.604	556.99	-23.535	10.2702	0.849559	1.22487	0.057454	
0.519176	-367.512	556.867	-23.7495	10.368	0.816381	1.17106	0.0551991	
0.524168	-367.779	557.053	-23.4034	10.4658	0.815323	1.16657	0.0566077	
0.52916	-367.869	557.177	-23.1992	10.5636	0.825657	1.18731	0.0563924	
0.534153	-367.607	556.992	-23.5439	10.6614	0.772487	1.10316	0.0557123	
0.539145	-367.527	556.867	-23.7421	10.7592	0.833119	1.20373	0.0534552	
0.544137	-367.79	557.047	-23.3859	10.857	0.737081	1.04225	0.0542332	
0.549129	-367.874	557.169	-23.1802	10.9549	0.839719	1.22104	0.0545554	
0.554121	-367.607	556.984	-23.5359	11.0527	0.696948	0.981848	0.0528686	
0.559113	-367.523	556.862	-23.748	11.1505	0.844541	1.22913	0.0534381	
0.564105	-367.793	557.051	-23.3945	11.2483	0.662255	0.925887	0.0522191	
0.569097	-367.876	557.179	-23.1939	11.3461	0.848841	1.23743	0.0530192	
0.574089	-367.608	556.998	-23.545	11.4439	0.63607	0.87893	0.0517728	
0.579081	-367.52	556.872	-23.737	11.5417	0.846921	1.23804	0.0528607	
0.584073	-367.792	557.051	-23.3853	11.6395	0.60228	0.829933	0.0509034	
0.589065	-367.876	557.169	-23.1835	11.7373	0.847709	1.23862	0.0513802	
0.594058	-367.603	556.985	-23.5392	11.8352	0.581728	0.792425	0.0501198	
0.59905	-367.528	556.864	-23.7479	11.933	0.840398	1.23389	0.049821	
0.604042	-367.799	557.043	-23.4028	12.0308	0.55704	0.756717	0.0486102	
0.609034	-367.879	557.172	-23.1958	12.1286	0.832772	1.22314	0.0486783	
0.614026	-367.602	556.992	-23.543	12.2264	0.542355	0.733051	0.0471798	
0.619018	-367.515	556.858	-23.7424	12.3242	0.826008	1.21248	0.048558	
0.62401	-367.791	557.04	-23.3887	12.422	0.528293	0.712456	0.0458404	
0.629002	-367.874	557.166	-23.1845	12.5198	0.811864	1.19342	0.0476171	
0.633994	-367.599	556.981	-23.528	12.6176	0.521967	0.702643	0.0457428	
0.638986	-367.519	556.865	-23.7422	12.7155	0.80144	1.17501	0.0467521	
0.643978	-367.794	557.053	-23.4103	12.8133	0.517208	0.699289	0.0450085	
0.64897	-367.882	557.173	-23.2023	12.9111	0.783883	1.15034	0.0452974	
0.653962	-367.611	556.989	-23.5332	13.0089	0.517745	0.701209	0.0448506	
0.658955	-367.52	556.86	-23.7394	13.1067	0.766949	1.12454	0.0459717	
0.663947	-367.792	557.049	-23.3987	13.2045	0.520484	0.709452	0.0437053	
0.668939	-367.881	557.176	-23.194	13.3023	0.748194	1.09367	0.0448987	
0.673931	-367.603	556.987	-23.5335	13.4001	0.523913	0.720781	0.0428837	
0.678923	-367.516	556.861	-23.7338	13.4979	0.727336	1.06345	0.0441962	
0.683915	-367.791	557.037	-23.4019	13.5958	0.53431	0.739662	0.0429396	
0.688907	-367.869	557.17	-23.201	13.6936	0.703755	1.02573	0.0433565	
0.693899	-367.601	556.99	-23.5339	13.7914	0.544021	0.758589	0.0426847	
0.698891	-367.525	556.859	-23.7287	13.8892	0.680891	0.98905	0.0427363	
0.703883	-367.792	557.044	-23.3851	13.987	0.555103	0.781046	0.0422611	
0.708875	-367.876	557.17	-23.186	14.0848	0.656476	0.9517	0.042217	
0.713867	-367.611	556.988	-23.5283	14.1826	0.565242	0.799826	0.0419027	
0.71886	-367.531	556.867	-23.7363	14.2804	0.63124	0.910121	0.0423879	
0.723852	-367.795	557.057	-23.4066	14.3782	0.57649	0.820428	0.0408255	
0.728844	-367.873	557.183	-23.2037	14.4761	0.604519	0.870802	0.0415428	
0.733836	-367.609	556.997	-23.5316	14.5739	0.58685	0.841201	0.0403314	
0.738828	-367.526	556.863	-23.7262	14.6717	0.580165	0.829928	0.0404037	
0.74382	-367.799	557.045	-23.3904	14.7695	0.596267	0.858066	0.0399937	
0.748812	-367.876	557.177	-23.1928	14.8673	0.553845	0.787123	0.0398371	
0.753804	-367.595	556.992	-23.5343	14.9651	0.605632	0.875051	0.0394938	
0.758796	-367.518	556.861	-23.7453	15.0629	0.530304	0.750096	0.0394965	
0.763788	-367.789	557.042	-23.4094	15.1607	0.612809	0.889132	0.0392415	
0.76878	-367.87	557.169	-23.1978	15.2585	0.506244	0.709621	0.0390641	
0.773772	-367.604	556.987	-23.5277	15.3564	0.618359	0.899379	0.0386332	
0.778764	-367.52	556.857	-23.7254	15.4542	0.483997	0.674471	0.0382453	
0.783757	-367.787	557.037	-23.3909	15.552	0.623542	0.908998	0.0383321	
0.788749	-367.867	557.177	-23.1941	15.6498	0.462801	0.641072	0.0370775	
0.793741	-367.601	557	-23.5296	15.7476	0.625852	0.914356	0.0379272	
0.798733	-367.52	556.861	-23.7306	15.8454	0.443587	0.60929	0.0367592	
0.803725	-367.789	557.037	-23.4018	15.9432	0.626879	0.917526	0.0375971	
0.808717	-367.872	557.171	-23.1962	16.041	0.428541	0.584011	0.0364683	
0.813709	-367.602	556.992	-23.5194	16.1388	0.626804	0.918033	0.0369195	
0.818701	-367.527	556.863	-23.7227	16.2367	0.414404	0.56095	0.0358598	
0.823693	-367.798	557.043	-23.391	16.3345	0.624176	0.91487	0.0367747	
0.828685	-367.871	557.178	-23.1893	16.4323	0.404826	0.546146	0.0359463	
0.833677	-367.596	556.997	-23.526	16.5301	0.619494	0.908168	0.0365555	
0.838669	-367.523	556.854	-23.7291	16.6279	0.397249	0.534718	0.0347883	
0.843661	-367.798	557.034	-23.4006	16.7257	0.612873	0.898597	0.0361365	
0.848654	-367.877	557.174	-23.1951	16.8235	0.393773	0.529893	0.034859	
0.853646	-367.604	556.998	-23.518	16.9213	0.604494	0.886866	0.0355188	
0.858638	-367.523	556.865	-23.7246	17.0191	0.392673	0.530005	0.0343386	
0.86363	-367.789	557.042	-23.3953	17.117	0.594542	0.871247	0.034513	
0.868622	-367.87	557.166	-23.1885	17.2148	0.394604	0.534276	0.0345114	
0.873614	-367.606	556.988	-23.5182	17.3126	0.582846	0.85373	0.0349461	
0.878606	-367.529	556.865	-23.7299	17.4104	0.398903	0.544947	0.0336072	
0.883598	-367.794	557.049	-23.4076	17.5082	0.569718	0.833454	0.034638	
0.88859	-367.872	557.175	-23.2007	17.606	0.404457	0.55613	0.0334603	
