Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-1.27368	-1.19666	309.372	0.195622	0.00950646	0.00954698	8.52982	
0.00499208	0.0356445	0.121826	309.384	0.293434	0.0143304	0.00785016	13.3065	
0.00998416	1.14783	1.25311	309.381	0.391245	0.00428912	0.00403272	4.09264	
0.0149762	-0.357056	-0.248901	309.363	0.489056	0.00887599	0.0050726	7.91184	
0.0199683	-1.466	-1.37854	309.369	0.586867	0.00616512	0.00584161	3.09596	
0.0249604	0.0404663	0.131592	309.388	0.684678	0.00723827	0.00447482	5.60737	
0.0299525	1.15033	1.26666	309.382	0.782489	0.00290255	0.00247806	2.444	
0.0349446	-0.353088	-0.228699	309.36	0.880301	0.00544205	0.00349057	4.27453	
0.0399366	-1.46008	-1.36053	309.368	0.978112	0.0029044	0.00242295	2.14349	
0.0449287	0.0431519	0.127808	309.384	1.07592	0.004844	0.00333953	3.42992	
0.0499208	1.1582	1.26422	309.379	1.17373	0.00310144	0.00294447	1.92434	
0.0549129	-0.346741	-0.230347	309.369	1.27155	0.00397397	0.00279377	2.82344	
0.059905	-1.47333	-1.37061	309.368	1.36936	0.00242442	0.00209356	1.79883	
0.064897	0.0313721	0.123962	309.383	1.46717	0.00329862	0.00230088	2.37047	
0.0698891	1.15625	1.27148	309.385	1.56498	0.00183235	0.00132499	1.66331	
0.0748812	-0.340698	-0.221314	309.366	1.66279	0.00268808	0.00193262	2.02001	
0.0798733	-1.46228	-1.37579	309.362	1.7606	0.00211675	0.0017231	1.57808	
0.0848654	0.0321655	0.108093	309.379	1.85841	0.0024317	0.00197239	1.72748	
0.0898574	1.15479	1.26605	309.382	1.95622	0.00217036	0.00183464	1.4991	
0.0948495	-0.344055	-0.212708	309.366	2.05403	0.00153163	0.000910216	1.48884	
0.0998416	-1.46796	-1.37097	309.374	2.15185	0.0018643	0.00146709	1.43957	
0.104834	0.024231	0.111694	309.391	2.24966	0.00147931	0.00105723	1.2873	
0.109826	1.14984	1.26056	309.383	2.34747	0.00205573	0.00170552	1.38047	
0.114818	-0.343384	-0.220398	309.358	2.44528	0.00173365	0.00188301	1.11191	
0.11981	-1.47595	-1.3772	309.363	2.54309	0.00249435	0.00208137	1.32475	
0.124802	0.0155029	0.0941162	309.387	2.6409	0.00174234	0.00170569	0.964481	
0.129794	1.14612	1.25568	309.386	2.73871	0.00202249	0.00140236	1.2861	
0.134786	-0.337219	-0.214294	309.373	2.83652	0.00127528	0.00122934	0.83512	
0.139778	-1.47363	-1.37024	309.376	2.93434	0.00185817	0.00129308	1.23104	
0.14477	0.00500488	0.0961914	309.39	3.03215	0.00106505	0.00101979	0.725303	
0.149762	1.14325	1.25171	309.38	3.12996	0.00194108	0.001377	1.1875	
