Scan started at 10:05:42 07/10/2014
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.179715	-365.602	558.415	-23.4179	3.71683	2.27889	3.67091	0.0599371	0.179715	2.20874	2.34381	305.716	3.71683	0.00274367	0.00269387	1.12054	
0.184707	-365.418	558.218	-23.6662	3.81464	1.56602	2.30895	0.0677448	0.184707	-2.37891	-2.25824	305.689	3.81464	0.00201725	0.00213943	0.410697	
0.189699	-365.503	558.264	-23.5786	3.91245	2.15438	3.48616	0.0615077	0.189699	-2.61798	-2.56451	305.726	3.91245	0.0025284	0.00245964	1.07026	
0.194691	-365.685	558.456	-23.341	4.01026	1.49902	2.20189	0.0654323	0.194691	1.96014	2.02216	305.753	4.01026	0.00204013	0.00208349	0.373972	
0.199683	-365.598	558.41	-23.422	4.10807	2.07521	3.34269	0.0557965	0.199683	2.24298	2.36987	305.712	4.10807	0.00259169	0.00235191	1.02748	
0.204675	-365.411	558.208	-23.6605	4.20588	1.41156	2.05415	0.061937	0.204675	-2.3205	-2.20447	305.683	4.20588	0.00194672	0.00192259	0.350198	
0.209667	-365.493	558.248	-23.5836	4.30369	1.97892	3.2025	0.0551075	0.209667	-2.6488	-2.59662	305.736	4.30369	0.00239244	0.00206764	0.976441	
0.214659	-365.688	558.451	-23.347	4.4015	1.35293	1.98395	0.0596271	0.214659	1.90179	1.96875	305.77	4.4015	0.00203416	0.00210091	0.34525	
0.219652	-365.611	558.416	-23.4226	4.49931	1.87119	3.02076	0.0493187	0.219652	2.27918	2.41461	305.721	4.49931	0.00260896	0.00242056	0.933559	
0.224644	-365.41	558.219	-23.6563	4.59713	1.33148	1.96568	0.057097	0.224644	-2.2572	-2.13599	305.689	4.59713	0.00192954	0.00193942	0.348879	
0.229636	-365.487	558.255	-23.5868	4.69494	1.79949	2.88967	0.0517818	0.229636	-2.68304	-2.63037	305.729	4.69494	0.00257407	0.00235369	0.881123	
0.234628	-365.691	558.44	-23.3534	4.79275	1.26733	1.88281	0.0529343	0.234628	1.84448	1.89911	305.758	4.79275	0.00196739	0.00207179	0.363656	
0.23962	-365.629	558.403	-23.4191	4.89056	1.71572	2.75946	0.0501005	0.23962	2.32129	2.45081	305.723	4.89056	0.00225295	0.00213911	0.836446	
0.244612	-365.437	558.218	-23.6517	4.98837	1.25019	1.85798	0.0510727	0.244612	-2.19598	-2.07062	305.691	4.98837	0.00180348	0.00173065	0.380895	
0.249604	-365.486	558.253	-23.5906	5.08618	1.62315	2.61231	0.0431844	0.249604	-2.71173	-2.66333	305.733	5.08618	0.00230646	0.00216483	0.784528	
0.254596	-365.673	558.452	-23.3555	5.18399	1.21321	1.82132	0.0490906	0.254596	1.78876	1.85101	305.764	5.18399	0.0019195	0.00187625	0.403014	
0.259588	-365.627	558.417	-23.3978	5.2818	1.55255	2.48772	0.0452507	0.259588	2.3385	2.47699	305.715	5.2818	0.00210082	0.00188044	0.738788	
0.26458	-365.431	558.218	-23.6295	5.37962	1.20563	1.8237	0.0469733	0.26458	-2.14746	-2.01721	305.692	5.37962	0.00184132	0.00188381	0.424229	
0.269572	-365.474	558.252	-23.5969	5.47743	1.45803	2.32944	0.0438249	0.269572	-2.76636	-2.71399	305.729	5.47743	0.00256055	0.00241704	0.694837	
