Scan started at 10:05:42 07/10/2014
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
2.10666	-365.475	558.292	-23.5729	41.4719	0.154924	0.227424	0.00666745	2.10666	-1.57855	-1.44452	305.686	41.4719	0.00817214	0.00803793	0.0395619	
2.11165	-365.403	558.265	-23.6377	41.5698	0.218867	0.35385	0.00607437	2.11165	-3.04523	-2.98932	305.727	41.5698	0.00828623	0.00838683	0.108677	
2.11664	-365.626	558.476	-23.4042	41.6676	0.153557	0.224876	0.00669547	2.11664	1.16925	1.22675	305.76	41.6676	0.00796809	0.0079888	0.0380572	
2.12163	-365.695	558.503	-23.3267	41.7654	0.218394	0.352805	0.00605666	2.12163	2.68689	2.82391	305.719	41.7654	0.00857729	0.00862438	0.108428	
2.12663	-365.467	558.303	-23.5646	41.8632	0.152959	0.224322	0.00649946	2.12663	-1.50983	-1.36682	305.69	41.8632	0.00830221	0.0083242	0.0382509	
2.13162	-365.393	558.277	-23.6453	41.961	0.217064	0.350693	0.0060575	2.13162	-3.06305	-3.00665	305.733	41.961	0.00877095	0.00874753	0.107671	
2.13661	-365.617	558.478	-23.4135	42.0588	0.153402	0.225381	0.00668109	2.13661	1.12262	1.16797	305.766	42.0588	0.00823422	0.00822415	0.0398777	
2.1416	-365.701	558.501	-23.3253	42.1566	0.215184	0.347404	0.00601832	2.1416	2.72052	2.84766	305.717	42.1566	0.00919217	0.00917491	0.106413	
2.14659	-365.484	558.293	-23.5614	42.2544	0.154644	0.228258	0.00655867	2.14659	-1.45514	-1.32086	305.684	42.2544	0.00853786	0.00839056	0.0424305	
2.15159	-365.405	558.27	-23.6525	42.3522	0.213001	0.343056	0.00604264	2.15159	-3.10638	-3.04669	305.726	42.3522	0.0092786	0.00937374	0.104653	
2.15658	-365.625	558.475	-23.4065	42.4501	0.156373	0.232644	0.00674937	2.15658	1.05725	1.10596	305.758	42.4501	0.00871588	0.00870908	0.0461284	
2.16157	-365.707	558.504	-23.3195	42.5479	0.209809	0.337903	0.00595729	2.16157	2.75537	2.87842	305.725	42.5479	0.00974914	0.00980649	0.102441	
2.16656	-365.476	558.303	-23.5591	42.6457	0.159248	0.238021	0.00664357	2.16656	-1.39191	-1.25995	305.694	42.6457	0.00871221	0.00878333	0.050275	
2.17155	-365.38	558.275	-23.6513	42.7435	0.206282	0.331481	0.00590546	2.17155	-3.13202	-3.07153	305.738	42.7435	0.00993	0.00997067	0.0997671	
2.17655	-365.616	558.481	-23.4222	42.8413	0.162126	0.24466	0.00650366	2.17655	0.997131	1.05536	305.77	42.8413	0.00892088	0.00898584	0.05479	
2.18154	-365.712	558.511	-23.3206	42.9391	0.202417	0.324363	0.00590666	2.18154	2.78058	2.91559	305.73	42.9391	0.0104871	0.0104373	0.0965564	
2.18653	-365.484	558.299	-23.5501	43.0369	0.165559	0.251999	0.00647344	2.18653	-1.33636	-1.20099	305.695	43.0369	0.00921406	0.00916253	0.0596732	
2.19152	-365.383	558.262	-23.6503	43.1347	0.198463	0.316301	0.00597467	2.19152	-3.16144	-3.10577	305.721	43.1347	0.0107159	0.0107719	0.0929861	
2.19652	-365.617	558.475	-23.4056	43.2325	0.169109	0.259883	0.00629492	2.19652	0.944275	0.995056	305.758	43.2325	0.00946995	0.0095427	0.0645311	
2.20151	-365.725	558.515	-23.296	43.3304	0.193668	0.307636	0.0059656	2.20151	2.80341	2.93024	305.731	43.3304	0.0109394	0.0108986	0.0891701	
2.2065	-365.485	558.31	-23.554	43.4282	0.173146	0.267877	0.00633751	2.2065	-1.28613	-1.15002	305.692	43.4282	0.0096101	0.00964883	0.069187	
2.21149	-365.369	558.272	-23.6768	43.526	0.188703	0.298566	0.00600686	2.21149	-3.18958	-3.13031	305.726	43.526	0.0113084	0.0113908	0.0849426	
2.21648	-365.604	558.475	-23.4312	43.6238	0.177172	0.275817	0.00623776	2.21648	0.884094	0.929321	305.76	43.6238	0.0100923	0.0100867	0.0737416	
2.22148	-365.728	558.508	-23.3129	43.7216	0.183836	0.288688	0.00607021	2.22148	2.83203	2.95581	305.723	43.7216	0.0115894	0.0116513	0.0804194	
2.22647	-365.489	558.3	-23.559	43.8194	0.180888	0.283925	0.00627755	2.22647	-1.23395	-1.09222	305.69	43.8194	0.0102277	0.0102553	0.0778798	
2.23146	-365.371	558.261	-23.6741	43.9172	0.178396	0.278932	0.00596588	2.23146	-3.21484	-3.14783	305.724	43.9172	0.0120077	0.011991	0.0754935	
2.23645	-365.619	558.464	-23.4196	44.015	0.184863	0.291447	0.00621924	2.23645	0.827026	0.877869	305.76	44.015	0.0108652	0.0107698	0.0821113	
2.24144	-365.736	558.519	-23.2954	44.1128	0.173208	0.26894	0.00593664	2.24144	2.86194	2.97778	305.728	44.1128	0.0123067	0.0124392	0.0706182	
2.24644	-365.487	558.323	-23.5435	44.2107	0.18832	0.298638	0.00607154	2.24644	-1.15491	-1.0246	305.691	44.2107	0.0110093	0.0111221	0.0857777	
2.25143	-365.363	558.269	-23.6768	44.3085	0.168068	0.258993	0.0060674	2.25143	-3.24139	-3.1795	305.726	44.3085	0.0127482	0.0127263	0.065453	
2.25642	-365.606	558.461	-23.4232	44.4063	0.191553	0.305092	0.00603755	2.25642	0.759766	0.812134	305.767	44.4063	0.0117211	0.0117148	0.0892573	
2.26141	-365.739	558.511	-23.2882	44.5041	0.163071	0.249234	0.00606569	2.26141	2.88281	3.0069	305.728	44.5041	0.0130154	0.0130521	0.0603374	
2.2664	-365.498	558.31	-23.5441	44.6019	0.19449	0.310884	0.00601449	2.2664	-1.10138	-0.966187	305.692	44.6019	0.0121237	0.0120711	0.0920742	
2.2714	-365.363	558.259	-23.6829	44.6997	0.158128	0.240112	0.0060387	2.2714	-3.25378	-3.19025	305.725	44.6997	0.0133843	0.0134889	0.0552904	
2.27639	-365.611	558.465	-23.431	44.7975	0.197018	0.315808	0.00604334	2.27639	0.714966	0.761719	305.756	44.7975	0.0126691	0.0127142	0.0945463	
2.28138	-365.746	558.517	-23.2816	44.8953	0.153848	0.231669	0.00603893	2.28138	2.90118	3.02472	305.733	44.8953	0.0137875	0.0138233	0.0502922	
2.28637	-365.492	558.316	-23.5336	44.9931	0.198994	0.319904	0.00598023	2.28637	-1.04626	-0.906983	305.697	44.9931	0.0133195	0.0133354	0.096721	
2.29136	-365.357	558.258	-23.695	45.091	0.150198	0.223911	0.00609562	2.29136	-3.27686	-3.20868	305.724	45.091	0.014321	0.0144007	0.0457464	
2.29636	-365.61	558.457	-23.4471	45.1888	0.200474	0.323146	0.00580904	2.29636	0.651672	0.709473	305.765	45.1888	0.01393	0.0139727	0.0982703	
2.30135	-365.748	558.516	-23.2855	45.2866	0.146883	0.217698	0.00610601	2.30135	2.92102	3.04559	305.734	45.2866	0.0146614	0.0147667	0.0416744	
2.30634	-365.492	558.311	-23.538	45.3844	0.201442	0.325235	0.00559556	2.30634	-0.992493	-0.856751	305.693	45.3844	0.0148145	0.0148673	0.099452	
2.31133	-365.345	558.249	-23.6972	45.4822	0.144373	0.212593	0.00617038	2.31133	-3.2995	-3.23669	305.722	45.4822	0.0151597	0.0152623	0.0384392	
2.31633	-365.6	558.456	-23.4338	45.58	0.201911	0.326358	0.00581661	2.31633	0.598999	0.646362	305.758	45.58	0.0154553	0.0155965	0.100096	
2.32132	-365.749	558.522	-23.2703	45.6778	0.142474	0.209205	0.00610778	2.32132	2.94434	3.06293	305.738	45.6778	0.0157089	0.0157571	0.0361772	
2.32631	-365.494	558.318	-23.5392	45.7756	0.20188	0.326416	0.00561125	2.32631	-0.942261	-0.805542	305.702	45.7756	0.0163877	0.0165324	0.100372	
2.3313	-365.348	558.25	-23.7067	45.8734	0.141506	0.20737	0.00618311	2.3313	-3.31622	-3.25	305.725	45.8734	0.016327	0.0163516	0.0351492	
2.33629	-365.61	558.454	-23.4421	45.9713	0.201172	0.325461	0.00543201	2.33629	0.549011	0.59436	305.76	45.9713	0.0173353	0.0173569	0.100126	
2.34129	-365.759	558.52	-23.2746	46.0691	0.141293	0.207048	0.00616076	2.34129	2.95795	3.0694	305.732	46.0691	0.0170295	0.0171104	0.0355205	
2.34628	-365.49	558.31	-23.5341	46.1669	0.199987	0.323479	0.00561172	2.34628	-0.878845	-0.749268	305.69	46.1669	0.0185337	0.0186475	0.0992717	
2.35127	-365.342	558.241	-23.7003	46.2647	0.141747	0.208652	0.00614644	2.35127	-3.32501	-3.25806	305.712	46.2647	0.0176832	0.0176598	0.0371791	
2.35626	-365.611	558.457	-23.4345	46.3625	0.198346	0.320385	0.0055121	2.35626	0.490601	0.536255	305.755	46.3625	0.019594	0.0196053	0.0982415	
2.36125	-365.76	558.532	-23.2618	46.4603	0.142952	0.211566	0.00609903	2.36125	2.97131	3.08215	305.734	46.4603	0.0185458	0.0186057	0.0397625	
2.36625	-365.491	558.318	-23.5246	46.5581	0.196156	0.316368	0.00570019	2.36625	-0.830505	-0.692444	305.692	46.5581	0.0209715	0.0210143	0.0963852	
2.37124	-365.338	558.244	-23.7069	46.6559	0.144939	0.215747	0.00613549	2.37124	-3.34003	-3.26947	305.712	46.6559	0.0195617	0.0196527	0.0433003	
2.37623	-365.6	558.45	-23.4476	46.7537	0.193432	0.311402	0.00542036	2.37623	0.436585	0.483704	305.755	46.7537	0.0223365	0.0224324	0.0942968	
2.38122	-365.75	558.525	-23.264	46.8516	0.147423	0.221239	0.00620398	2.38122	2.97076	3.08838	305.736	46.8516	0.0205573	0.0206881	0.0472709	
2.38621	-365.493	558.313	-23.5276	46.9494	0.190392	0.305556	0.00532085	2.38621	-0.778198	-0.638001	305.695	46.9494	0.024112	0.0242018	0.0917737	
2.39121	-365.34	558.23	-23.704	47.0472	0.150372	0.227513	0.00619246	2.39121	-3.34161	-3.26721	305.713	47.0472	0.0218329	0.0218874	0.0515909	
2.3962	-365.604	558.442	-23.4345	47.145	0.186653	0.298918	0.0055267	2.3962	0.388245	0.437378	305.754	47.145	0.0256918	0.0258045	0.0889584	
2.40119	-365.753	558.535	-23.2562	47.2428	0.153588	0.234395	0.0060036	2.40119	2.98975	3.10425	305.739	47.2428	0.0234021	0.02335	0.0560047	
2.40618	-365.485	558.34	-23.5244	47.3406	0.182564	0.291515	0.00553734	2.40618	-0.722046	-0.583496	305.699	47.3406	0.0278423	0.0278164	0.0855783	
2.41117	-365.332	558.25	-23.7105	47.4384	0.157203	0.241889	0.00616015	2.41117	-3.35425	-3.28394	305.714	47.4384	0.0250177	0.0251369	0.0605102	
2.41617	-365.598	558.451	-23.4428	47.5362	0.178479	0.28356	0.00489882	2.41617	0.336853	0.381653	305.758	47.5362	0.030216	0.0303043	0.0819822	
2.42116	-365.76	558.54	-23.2631	47.634	0.160677	0.24936	0.00606807	2.42116	3.00262	3.1142	305.739	47.634	0.0270582	0.0271889	0.0648692	
2.42615	-365.493	558.333	-23.5298	47.7319	0.173738	0.274968	0.00550442	2.42615	-0.655701	-0.517639	305.695	47.7319	0.0325999	0.0327696	0.0779135	
2.43114	-365.33	558.243	-23.7084	47.8297	0.164426	0.257003	0.00597717	2.43114	-3.35864	-3.28705	305.712	47.8297	0.029598	0.0297284	0.0691387	
2.43613	-365.597	558.447	-23.4397	47.9275	0.168972	0.266186	0.00571254	2.43613	0.266846	0.311646	305.753	47.9275	0.0357627	0.0358928	0.0738208	
2.44113	-365.755	558.539	-23.2528	48.0253	0.168275	0.264146	0.00608612	2.44113	2.99915	3.11487	305.741	48.0253	0.0326979	0.0328212	0.0730672	
2.44612	-365.489	558.33	-23.5189	48.1231	0.164178	0.25684	0.00575077	2.44612	-0.612488	-0.464417	305.703	48.1231	0.0393236	0.03949	0.0692396	
2.45111	-365.331	558.239	-23.7105	48.2209	0.171455	0.271569	0.00607372	2.45111	-3.36987	-3.28937	305.717	48.2209	0.0368686	0.0370212	0.0768998	
2.4561	-365.607	558.452	-23.4514	48.3187	0.15941	0.247615	0.0059108	2.4561	0.22229	0.269653	305.756	48.3187	0.0443402	0.0445517	0.0647096	
2.4611	-365.77	558.545	-23.2633	48.4165	0.174647	0.278038	0.00618759	2.4611	3.00488	3.11365	305.736	48.4165	0.0414454	0.0416147	0.0802566	
2.46609	-365.491	558.333	-23.5308	48.5143	0.154559	0.238387	0.00566119	2.46609	-0.556519	-0.419678	305.694	48.5143	0.0496248	0.0498424	0.0599284	
2.47108	-365.334	558.231	-23.7139	48.6122	0.177608	0.284161	0.00678709	2.47108	-3.36945	-3.297	305.711	48.6122	0.0478401	0.0479465	0.0833819	
2.47607	-365.609	558.434	-23.4399	48.71	0.149332	0.229068	0.00630545	2.47607	0.163452	0.20929	305.75	48.71	0.0533458	0.0535689	0.054976	
2.48106	-365.765	558.539	-23.2567	48.8078	0.180114	0.28895	0.00646593	2.48106	3.01587	3.12262	305.736	48.8078	0.0593431	0.0596092	0.0859808	
2.48606	-365.488	558.337	-23.5303	48.9056	0.145462	0.2209	0.00644707	2.48606	-0.49469	-0.360352	305.695	48.9056	0.0698925	0.0702871	0.0506897	
2.49105	-365.328	558.238	-23.7205	49.0034	0.182383	0.293658	0.00645571	2.49105	-3.37402	-3.29858	305.713	49.0034	0.0718847	0.0721025	0.0882014	
2.49604	-365.605	558.448	-23.4577	49.1012	0.141363	0.213211	0.0064849	2.49604	0.109802	0.15448	305.753	49.1012	0.0863314	0.0866634	0.0459924	
2.50103	-365.767	558.547	-23.2602	49.199	0.18323	0.297132	0.00799603	2.50103	3.00897	3.11786	305.738	49.199	0.0934321	0.0938389	0.0901407	
2.50602	-365.488	558.337	-23.5096	49.2968	0.137296	0.206003	0.0105857	2.50602	-0.441773	-0.303345	305.701	49.2968	0.127165	0.12761	0.0424216	
2.51102	-365.327	558.235	-23.7076	49.3946	0.186011	0.299854	0.0127977	2.51102	-3.36816	-3.28943	305.712	49.3946	0.110685	0.111242	0.0917079	
2.51601	-365.612	558.455	-23.4519	49.4925	0.132726	0.200341	0.0134649	2.51601	0.0567017	0.107239	305.75	49.4925	0.150842	0.15162	0.038354	
2.521	-365.77	558.568	-23.2546	49.5903	0.184905	0.300492	0.0171246	2.521	3.01001	3.11554	305.739	49.5903	0.190973	0.191759	0.0924655	
2.52599	-365.482	558.354	-23.5198	49.6881	0.128826	0.192216	0.0262482	2.52599	-0.396606	-0.254517	305.698	49.6881	0.273559	0.274768	0.0357777	
2.53098	-365.327	558.238	-23.7189	49.7859	0.178368	0.300481	0.0381867	2.53098	-3.37219	-3.28644	305.709	49.7859	0.455981	0.458017	0.0923866	
2.53598	-365.616	558.447	-23.4639	49.8837	0.092662	0.165936	0.0923572	2.53598	0.00457764	0.0531006	305.753	49.8837	1.43127	1.4377	0.0409877	
2.54097	-365.768	558.559	-23.2743	49.9815	0.22523	0.326296	0.0869955	2.54097	3.00348	3.11029	305.739	49.9815	1.29353	1.29946	0.0979878	
2.54596	-365.483	558.348	-23.5251	50.0793	0.142009	0.196377	0.0345635	2.54596	-0.340942	-0.20282	305.7	50.0793	0.438723	0.440729	0.0313077	
2.55095	-365.336	558.229	-23.7102	50.1771	0.196725	0.30912	0.0316066	2.55095	-3.36505	-3.28741	305.709	50.1771	0.277735	0.27902	0.094162	
2.55594	-365.617	558.434	-23.4493	50.2749	0.136256	0.196744	0.0184035	2.55594	-0.0548096	-0.00860596	305.749	50.2749	0.1892	0.190175	0.0325869	
2.56094	-365.762	558.56	-23.2538	50.3728	0.193562	0.304265	0.0166979	2.56094	2.9953	3.10492	305.746	50.3728	0.154852	0.155633	0.0930166	
2.56593	-365.476	558.357	-23.5091	50.4706	0.140271	0.198149	0.0172229	2.56593	-0.285522	-0.141113	305.697	50.4706	0.119893	0.120632	0.0343559	
2.57092	-365.324	558.234	-23.7072	50.5684	0.177757	0.295952	0.0101781	2.57092	-3.35712	-3.28418	305.697	50.5684	0.106571	0.106813	0.091824	
2.57591	-365.619	558.442	-23.4702	50.6662	0.135908	0.199552	0.0104397	2.57591	-0.100708	-0.0640259	305.745	50.6662	0.0863125	0.0866904	0.0371502	
2.58091	-365.773	558.564	-23.2659	50.764	0.183969	0.295872	0.00792445	2.58091	2.9942	3.09705	305.738	50.764	0.0836281	0.0839723	0.0901011	
2.5859	-365.484	558.35	-23.5032	50.8618	0.137418	0.203136	0.0092443	2.5859	-0.235962	-0.0941162	305.696	50.8618	0.0684143	0.0686789	0.0405988	
2.59089	-365.337	558.225	-23.7073	50.9596	0.181827	0.291318	0.00767269	2.59089	-3.35877	-3.27179	305.711	50.9596	0.0683984	0.0687946	0.0881024	
2.59588	-365.625	558.437	-23.4602	51.0574	0.139208	0.208316	0.0128588	2.59588	-0.154724	-0.105591	305.758	51.0574	0.0557639	0.0562657	0.0444686	
2.60087	-365.766	558.561	-23.2592	51.1552	0.176627	0.28512	0.010197	2.60087	2.99042	3.0965	305.748	51.1552	0.0567105	0.0564623	0.0858986	
2.60587	-365.479	558.353	-23.5046	51.2531	0.141798	0.2146	0.00844032	2.60587	-0.180298	-0.0405884	305.695	51.2531	0.0472546	0.047213	0.0486282	
2.61086	-365.331	558.23	-23.7075	51.3509	0.175217	0.279331	0.00623948	2.61086	-3.34839	-3.27142	305.703	51.3509	0.0494726	0.0496554	0.0829243	
2.61585	-365.612	558.435	-23.471	51.4487	0.145174	0.220936	0.00622555	2.61585	-0.211243	-0.169495	305.753	51.4487	0.0406903	0.0407171	0.052758	
2.62084	-365.769	558.565	-23.2757	51.5465	0.171585	0.272523	0.00585592	2.62084	2.97601	3.09003	305.743	51.5465	0.0437342	0.0439869	0.079773	
2.62583	-365.488	558.365	-23.5039	51.6443	0.148373	0.22797	0.00609623	2.62583	-0.134583	0.0170898	305.693	51.6443	0.0358201	0.0360016	0.0570623	
2.63083	-365.329	558.227	-23.697	51.7421	0.166988	0.264884	0.00552473	2.63083	-3.34619	-3.26318	305.694	51.7421	0.0392498	0.0393807	0.0763116	
2.63582	-365.61	558.431	-23.4658	51.8399	0.152244	0.235147	0.00566237	2.63582	-0.265991	-0.221558	305.754	51.8399	0.0325524	0.0326693	0.0612537	
2.64081	-365.768	558.566	-23.261	51.9377	0.163173	0.256993	0.00576307	2.64081	2.97498	3.07733	305.754	51.9377	0.0353884	0.0356119	0.0726072	
2.6458	-365.485	558.36	-23.4908	52.0356	0.155736	0.24243	0.0055097	2.6458	-0.0574341	0.0755005	305.7	52.0356	0.0294096	0.0295714	0.0651897	
2.65079	-365.331	558.225	-23.7016	52.1334	0.158837	0.248661	0.00576246	2.65079	-3.32306	-3.25067	305.711	52.1334	0.0322607	0.0323839	0.0685563	
2.65579	-365.623	558.424	-23.4799	52.2312	0.158875	0.249419	0.00559452	2.65579	-0.327026	-0.277649	305.754	52.2312	0.0272782	0.0274159	0.0690475	
2.66078	-365.777	558.558	-23.2833	52.329	0.154322	0.240134	0.00567712	2.66078	2.96021	3.07001	305.746	52.329	0.0293157	0.0294079	0.0644404	
2.66577	-365.494	558.357	-23.5008	52.4268	0.162544	0.25625	0.0054828	2.66577	-0.015564	0.131348	305.697	52.4268	0.0247403	0.0247432	0.0725011	
2.67076	-365.335	558.227	-23.6969	52.5246	0.149852	0.23179	0.00566641	2.67076	-3.32428	-3.23657	305.706	52.5246	0.0270632	0.0272003	0.0601034	
2.67575	-365.606	558.43	-23.481	52.6224	0.165631	0.262379	0.00537894	2.67575	-0.377625	-0.335693	305.748	52.6224	0.0231789	0.0232897	0.0757226	
2.68075	-365.761	558.565	-23.2741	52.7202	0.145516	0.223214	0.00571524	2.68075	2.95654	3.06293	305.736	52.7202	0.0250889	0.0251829	0.0557109	
2.68574	-365.484	558.366	-23.4866	52.818	0.168468	0.268165	0.00526711	2.68574	0.0490112	0.186646	305.697	52.818	0.0217465	0.0218065	0.0785121	
2.69073	-365.331	558.225	-23.6934	52.9159	0.141385	0.215116	0.00557799	2.69073	-3.30835	-3.23724	305.714	52.9159	0.023376	0.0235499	0.0511329	
2.69572	-365.614	558.422	-23.4854	53.0137	0.171057	0.273158	0.00545132	2.69572	-0.430786	-0.392578	305.76	53.0137	0.0205963	0.0207169	0.0812659	
2.70072	-365.762	558.568	-23.2822	53.1115	0.137317	0.207438	0.00574567	2.70072	2.94849	3.04675	305.741	53.1115	0.0217097	0.0218358	0.0468868	
2.70571	-365.484	558.366	-23.4887	53.2093	0.173209	0.277432	0.00509043	2.70571	0.102661	0.237915	305.688	53.2093	0.0194247	0.0195424	0.0833165	
2.7107	-365.337	558.213	-23.6849	53.3071	0.1339	0.200463	0.00571847	2.7107	-3.30249	-3.22321	305.705	53.3071	0.0203251	0.0204573	0.0426423	
2.71569	-365.614	558.414	-23.4807	53.4049	0.174903	0.280964	0.00505664	2.71569	-0.494324	-0.451416	305.754	53.4049	0.0185172	0.0186386	0.0851099	
2.72068	-365.768	558.565	-23.2831	53.5027	0.130883	0.194302	0.00565896	2.72068	2.94189	3.04065	305.74	53.5027	0.0191651	0.0192354	0.0387977	
2.72568	-365.494	558.372	-23.4816	53.6005	0.176247	0.283705	0.00513915	2.72568	0.00390625	0.144714	305.695	53.6005	0.0177217	0.0178319	0.0863412	
2.73067	-365.337	558.23	-23.6943	53.6983	0.128137	0.189299	0.00567594	2.73067	-3.5069	-3.42358	305.707	53.6983	0.0178959	0.0179113	0.0354395	
2.73566	-365.608	558.427	-23.5012	53.7962	0.177214	0.285474	0.00506019	2.73566	-0.615418	-0.578247	305.755	53.7962	0.0169745	0.0170226	0.0873725	
2.74065	-365.762	558.569	-23.2819	53.894	0.126152	0.185515	0.00558524	2.74065	2.90656	3.00122	305.74	53.894	0.0168344	0.0169192	0.0328837	
2.74564	-365.489	558.373	-23.4686	53.9918	0.177637	0.286331	0.00512321	2.74564	0.204529	0.344482	305.691	53.9918	0.0163577	0.0163584	0.0878044	
2.75064	-365.334	558.227	-23.68	54.0896	0.125067	0.182997	0.00563653	2.75064	-3.29511	-3.20606	305.709	54.0896	0.0159018	0.0160199	0.0311917	
2.75563	-365.599	558.419	-23.4835	54.1874	0.177372	0.2864	0.0050092	2.75563	-0.618103	-0.572876	305.754	54.1874	0.0157398	0.0157918	0.0879767	
2.76062	-365.755	558.571	-23.2564	54.2852	0.124503	0.18199	0.00562442	2.76062	2.90698	3.00378	305.743	54.2852	0.015031	0.0151324	0.030677	
2.76561	-365.492	558.394	-23.4432	54.383	0.177014	0.285412	0.00497371	2.76561	0.244446	0.383118	305.701	54.383	0.015179	0.0152493	0.0876556	
2.7706	-365.333	558.234	-23.657	54.4808	0.124434	0.182507	0.00549579	2.7706	-3.31482	-3.22913	305.707	54.4808	0.0143148	0.0143876	0.0314058	
2.7756	-365.594	558.41	-23.4683	54.5786	0.17587	0.283625	0.00504839	2.7756	-0.688599	-0.647217	305.754	54.5786	0.0146369	0.0147884	0.0869517	
2.78059	-365.756	558.568	-23.2583	54.6765	0.125216	0.184348	0.00548957	2.78059	2.89642	2.99213	305.744	54.6765	0.0135463	0.0135321	0.0331989	
2.78558	-365.505	558.376	-23.4475	54.7743	0.17439	0.280881	0.00503597	2.78558	0.334168	0.481201	305.699	54.7743	0.0143074	0.0143186	0.0858491	
2.79057	-365.351	558.22	-23.6668	54.8721	0.126667	0.187392	0.0054473	2.79057	-3.24908	-3.16254	305.705	54.8721	0.0129539	0.0129869	0.0357799	
2.79556	-365.599	558.416	-23.4853	54.9699	0.172405	0.27727	0.00498647	2.79556	-0.699219	-0.658875	305.742	54.9699	0.0137457	0.0138047	0.0843299	
2.80056	-365.751	558.567	-23.2628	55.0677	0.128783	0.191709	0.00542483	2.80056	2.92664	3.02679	305.738	55.0677	0.0122545	0.0122573	0.0390958	
2.80555	-365.498	558.38	-23.4408	55.1655	0.170004	0.272979	0.00499415	2.80555	0.404785	0.549378	305.698	55.1655	0.0134085	0.0133916	0.0824574	
2.81054	-365.332	558.229	-23.6724	55.2633	0.131131	0.196866	0.00539975	2.81054	-3.23663	-3.15094	305.705	55.2633	0.0117091	0.0118626	0.0427262	
2.81553	-365.582	558.424	-23.5106	55.3611	0.167297	0.267766	0.00512033	2.81553	-0.737488	-0.700623	305.754	55.3611	0.012886	0.0129947	0.0801166	
2.82053	-365.749	558.578	-23.296	55.4589	0.1339	0.202889	0.00519974	2.82053	2.92615	3.02405	305.748	55.4589	0.011314	0.011322	0.0466288	
2.82552	-365.501	558.378	-23.4676	55.5568	0.164165	0.261914	0.00503066	2.82552	0.467896	0.609314	305.693	55.5568	0.0125668	0.0126342	0.0775141	
2.83051	-365.36	558.211	-23.7061	55.6546	0.137044	0.209224	0.00519174	2.83051	-3.23218	-3.15363	305.704	55.6546	0.0107886	0.0108677	0.0506092	
2.8355	-365.649	558.379	-23.5635	55.7524	0.160679	0.255422	0.00518085	2.8355	-0.828552	-0.789185	305.754	55.7524	0.0121217	0.0121772	0.0745495	
2.84049	-365.835	558.516	-23.3543	55.8502	0.140244	0.216065	0.00516931	2.84049	2.8819	2.98175	305.743	55.8502	0.0104661	0.0105065	0.0545892	
2.84549	-365.591	558.316	-23.5256	55.948	0.156951	0.248438	0.00515088	2.84549	0.478455	0.622864	305.692	55.948	0.0118732	0.0118775	0.071265	
2.85048	-365.417	558.146	-23.7592	56.0458	0.143834	0.222975	0.00501401	2.85048	-3.26514	-3.17621	305.702	56.0458	0.0100138	0.0101285	0.0585411	
2.85547	-365.657	558.309	-23.6013	56.1436	0.152996	0.240985	0.00523555	2.85547	-0.895935	-0.849304	305.752	56.1436	0.0113444	0.0115328	0.0678651	
2.86046	-365.825	558.452	-23.3631	56.2414	0.147238	0.229757	0.00507306	2.86046	2.86609	2.96539	305.739	56.2414	0.00986277	0.00984879	0.0622459	
2.86545	-365.591	558.255	-23.5088	56.3392	0.149001	0.233247	0.00506448	2.86545	0.535767	0.682861	305.696	56.3392	0.0110792	0.0111219	0.0641284	
2.87045	-365.434	558.071	-23.7294	56.4371	0.150561	0.236611	0.00505683	2.87045	-3.26129	-3.16437	305.705	56.4371	0.00945412	0.00949647	0.0657528	
2.87544	-365.666	558.229	-23.5656	56.5349	0.144905	0.225344	0.00518628	2.87544	-0.965149	-0.92273	305.755	56.5349	0.0106676	0.0106954	0.0601818	
2.88043	-365.828	558.373	-23.3138	56.6327	0.15368	0.24279	0.00493149	2.88043	2.85687	2.95154	305.738	56.6327	0.00924254	0.00930371	0.0690166	
2.88542	-365.571	558.183	-23.4341	56.7305	0.140751	0.217321	0.00535051	2.88542	0.590088	0.739319	305.684	56.7305	0.0103678	0.0104309	0.0559779	
2.89041	-365.36	558.021	-23.6423	56.8283	0.156838	0.248913	0.00493507	2.89041	-3.25409	-3.15381	305.705	56.8283	0.00898923	0.00912629	0.0720371	
2.89541	-365.564	558.188	-23.4831	56.9261	0.136572	0.209575	0.00522362	2.89541	-1.01709	-0.968018	305.754	56.9261	0.0099439	0.0101115	0.0518821	
2.9004	-365.704	558.335	-23.2166	57.0239	0.159574	0.253989	0.00494171	2.9004	2.85291	2.94501	305.744	57.0239	0.0088094	0.00887397	0.0747143	
2.90539	-365.444	558.146	-23.3342	57.1217	0.132791	0.201991	0.00528988	2.90539	0.652893	0.791199	305.697	57.1217	0.00967085	0.00973831	0.0477019	
2.91038	-365.253	557.966	-23.5609	57.2195	0.161856	0.258895	0.00481051	2.91038	-3.24207	-3.14911	305.702	57.2195	0.00861453	0.00865502	0.0770864	
2.91537	-365.421	558.138	-23.3875	57.3174	0.129309	0.194734	0.00515447	2.91537	-1.0816	-1.03558	305.748	57.3174	0.00935979	0.00948645	0.0435469	
2.92037	-365.556	558.278	-23.1194	57.4152	0.163877	0.263026	0.00481314	2.92037	2.84174	2.9342	305.743	57.4152	0.00857955	0.00855154	0.079101	
