Scan started at 15:00:19 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	1.26758	1.38391	315.465	0.195622	0.0117094	0.0124482	8.82719	
0.00499208	0.221191	0.338501	315.461	0.293434	0.0133781	0.0119912	13.4461	
0.00998416	-1.22009	-1.1286	315.462	0.391245	0.0092915	0.00907897	4.31468	
0.0149762	-0.568054	-0.489929	315.475	0.489056	0.0142519	0.0124364	8.09088	
0.0199683	0.885376	0.989563	315.476	0.586867	0.0106432	0.0108764	3.20268	
0.0249604	0.241943	0.362488	315.46	0.684678	0.00967467	0.00828929	5.68005	
0.0299525	-1.22723	-1.12231	315.458	0.782489	0.00472198	0.00458942	2.53781	
0.0349446	-0.591614	-0.502441	315.481	0.880301	0.00686683	0.00543114	4.36147	
0.0399366	0.88031	0.985596	315.479	0.978112	0.00414871	0.00393753	2.22088	
0.0449287	0.250427	0.37146	315.462	1.07592	0.0069197	0.00585534	3.49408	
0.0499208	-1.22424	-1.12225	315.47	1.17373	0.00466645	0.00495589	1.97149	
0.0549129	-0.604126	-0.518982	315.485	1.27155	0.00596541	0.00508811	2.87831	
0.059905	0.875794	0.975647	315.474	1.36936	0.00669677	0.00716563	1.84085	
0.064897	0.260193	0.372009	315.454	1.46717	0.00613608	0.00639387	2.42301	
0.0698891	-1.22711	-1.12469	315.462	1.56498	0.00189226	0.00145294	1.69466	
0.0748812	-0.619568	-0.528198	315.481	1.66279	0.00349451	0.00339544	2.05561	
0.0798733	0.869995	0.974915	315.483	1.7606	0.0033176	0.00292781	1.60595	
0.0848654	0.266907	0.381592	315.465	1.85841	0.00537423	0.00506615	1.76787	
0.0898574	-1.22717	-1.13123	315.463	1.95622	0.00245024	0.0027836	1.52966	
0.0948495	-0.622315	-0.54364	315.482	2.05403	0.00424804	0.00420258	1.51516	
0.0998416	0.873169	0.971375	315.476	2.15185	0.00321754	0.00325413	1.45808	
0.104834	0.276733	0.401062	315.457	2.24966	0.00396789	0.00426698	1.31788	
0.109826	-1.22357	-1.11755	315.459	2.34747	0.00409195	0.00377105	1.40104	
0.114818	-0.641113	-0.565064	315.473	2.44528	0.00416656	0.00408235	1.13238	
0.11981	0.863831	0.959168	315.475	2.54309	0.00263741	0.00283257	1.34734	
0.124802	0.286743	0.411072	315.463	2.6409	0.0015539	0.00179539	0.990329	
0.129794	-1.2262	-1.1217	315.467	2.73871	0.00298665	0.00271677	1.30121	
0.134786	-0.655762	-0.57428	315.48	2.83652	0.00268847	0.00258842	0.852368	
0.139778	0.864868	0.960938	315.484	2.93434	0.00369251	0.003621	1.26079	
0.14477	0.306335	0.417481	315.467	3.03215	0.00140555	0.00139805	0.746869	
0.149762	-1.21912	-1.12085	315.459	3.12996	0.00291448	0.00253972	1.21418	
0.154754	-0.670837	-0.585999	315.474	3.22777	0.00189599	0.00197649	0.647139	
0.159747	0.853577	0.958008	315.479	3.32558	0.00344677	0.00314577	1.16668	
0.164739	0.309998	0.42981	315.469	3.42339	0.00273174	0.00278357	0.570741	
0.169731	-1.21509	-1.11871	315.467	3.5212	0.00168335	0.00147015	1.12238	
0.174723	-0.678894	-0.598145	315.476	3.61901	0.00393426	0.00398467	0.505126	
0.179715	0.854675	0.951111	315.476	3.71683	0.00337867	0.00316155	1.07604	
0.184707	0.327026	0.442322	315.47	3.81464	0.00255613	0.00265255	0.454683	
0.189699	-1.21393	-1.11475	315.465	3.91245	0.0017873	0.0018436	1.02959	
0.194691	-0.692566	-0.617798	315.472	4.01026	0.00181251	0.00186537	0.421305	
0.199683	0.845825	0.941773	315.47	4.10807	0.00231514	0.00204377	0.98793	
0.204675	0.335938	0.452393	315.463	4.20588	0.00174139	0.00185822	0.393838	
0.209667	-1.20471	-1.10669	315.469	4.30369	0.00187042	0.0018049	0.937947	
0.214659	-0.705689	-0.622131	315.479	4.4015	0.0016759	0.00172848	0.387601	
0.219652	0.842407	0.939026	315.476	4.49931	0.00221526	0.00188649	0.893222	
0.224644	0.346863	0.462708	315.46	4.59713	0.00105073	0.00113932	0.384242	
0.229636	-1.20349	-1.09869	315.461	4.69494	0.00221399	0.00209559	0.849002	
0.234628	-0.711731	-0.626221	315.476	4.79275	0.00186907	0.00204643	0.393502	
0.23962	0.83783	0.93512	315.477	4.89056	0.00149366	0.00120318	0.798873	
0.244612	0.353516	0.470215	315.465	4.98837	0.0010833	0.00107492	0.403901	
0.249604	-1.19257	-1.08777	315.46	5.08618	0.00214027	0.0018012	0.756118	
0.254596	-0.71167	-0.634216	315.475	5.18399	0.00112409	0.00109267	0.416598	
0.259588	0.842529	0.939087	315.48	5.2818	0.00160594	0.00124417	0.709778	
0.26458	0.370728	0.496643	315.459	5.37962	0.000850839	0.000884763	0.43454	
0.269572	-1.18292	-1.07648	315.461	5.47743	0.00149191	0.0014638	0.666766	
0.274564	-0.713318	-0.631043	315.483	5.57524	0.00143235	0.00156364	0.447514	
0.279556	0.844849	0.936279	315.481	5.67305	0.00143237	0.00130553	0.621784	
0.284549	0.382263	0.49469	315.462	5.77086	0.000924274	0.000846885	0.464206	
0.289541	-1.18213	-1.07434	315.458	5.86867	0.00195294	0.00168454	0.576133	
0.294533	-0.736267	-0.648682	315.472	5.96648	0.00134488	0.00147616	0.477835	
0.299525	0.821716	0.919495	315.476	6.06429	0.00153303	0.00149392	0.537751	
0.304517	0.386169	0.498535	315.466	6.1621	0.000964968	0.000904194	0.488671	
0.309509	-1.17438	-1.07306	315.461	6.25992	0.000879821	0.000826651	0.494937	
0.314501	-0.74469	-0.661438	315.478	6.35773	0.00128044	0.00123574	0.499469	
0.319493	0.8172	0.90741	315.481	6.45554	0.00167146	0.00147781	0.453215	
0.324485	0.394592	0.507874	315.465	6.55335	0.000963329	0.00081511	0.506946	
0.329477	-1.16901	-1.06592	315.461	6.65116	0.00122687	0.00114125	0.411568	
0.334469	-0.757629	-0.672119	315.47	6.74897	0.00101462	0.00102923	0.513876	
0.339461	0.802246	0.902405	315.471	6.84678	0.00104861	0.00101388	0.376687	
0.344454	0.395508	0.514465	315.461	6.94459	0.000724666	0.000668225	0.517904	
0.349446	-1.16345	-1.05536	315.467	7.04241	0.0014537	0.00129519	0.342106	
0.354438	-0.762879	-0.674622	315.479	7.14022	0.00164368	0.00159373	0.519612	
0.35943	0.799683	0.900086	315.481	7.23803	0.00270426	0.00271185	0.308437	
0.364422	0.406067	0.529053	315.47	7.33584	0.00135896	0.001266	0.520191	
0.369414	-1.15808	-1.05115	315.459	7.43365	0.00121789	0.00123762	0.277939	
0.374406	-0.773316	-0.690796	315.471	7.53146	0.00108386	0.00111378	0.516952	
0.379398	0.793335	0.88794	315.481	7.62927	0.00148029	0.00151745	0.255371	
0.38439	0.413757	0.530579	315.458	7.72708	0.00137645	0.00125537	0.513467	
0.389382	-1.1554	-1.05194	315.454	7.82489	0.00129677	0.0012217	0.232309	
0.394374	-0.783203	-0.70398	315.472	7.92271	0.000846557	0.000720747	0.506181	
0.399366	0.782837	0.875	315.477	8.02052	0.00105783	0.00103952	0.218387	
0.404358	0.425598	0.535767	315.468	8.11833	0.000943537	0.000794138	0.498258	
0.409351	-1.13867	-1.03992	315.459	8.21614	0.00124912	0.00127902	0.20372	
0.414343	-0.788391	-0.707031	315.475	8.31395	0.00119201	0.00124228	0.487566	
0.419335	0.780884	0.877319	315.486	8.41176	0.00105708	0.00109681	0.200908	
0.424327	0.433106	0.547241	315.47	8.50957	0.000917127	0.000922965	0.475884	
0.429319	-1.13159	-1.03503	315.461	8.60738	0.00114151	0.00112522	0.196332	
0.434311	-0.788391	-0.710266	315.48	8.7052	0.00120432	0.00123547	0.461987	
0.439303	0.771423	0.866516	315.489	8.80301	0.00098718	0.000943998	0.204111	
0.444295	0.436768	0.553162	315.465	8.90082	0.0011211	0.00101485	0.446955	
0.449287	-1.1275	-1.02252	315.46	8.99863	0.000940391	0.000852481	0.210413	
0.454279	-0.805603	-0.717651	315.477	9.09644	0.00098097	0.000855774	0.431196	
0.459271	0.761536	0.863464	315.477	9.19425	0.00094544	0.000990784	0.22351	
0.464263	0.442505	0.566162	315.458	9.29206	0.00123205	0.0011948	0.413992	
0.469256	-1.12799	-1.02136	315.457	9.38987	0.000873834	0.000892405	0.233682	
